facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
360 STONE CANYON ROAD,360 STONE CANYON ROAD,LOS ANGELES,CA,90077,CWA,No,08/16/2023,
3670 IMPERIAL,3670 W IMPERIAL,HAWTHORNE,CA,90250,CWA,No,,
3670 IMPERIAL,3670 WEST IMPERIAL HIGHWAY,HAWTHORNE,CA,90303,CWA,No,,
368 PETALUMA BLVD. NORTH,368 NORTH PETALUMA,PETALUMA,CA,94954,CWA,No,,
3700 ROAD J,3700 ROAD J,REDWOOD VALLEY,CA,95470,CWA,No,,
3797U4 YOL SAC 80 ACROSS THE TOP,YOLO AND SAC COUNTIES IN AND NEAR WEST SAC AND SAC,SACRAMENTO,CA,95833,CWA,No,,
38 UNIT MIXED USE,416 E LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,CWA,No,04/26/2018,
3800 WEST SIXTH STREET LLC,3800 WEST 6TH,LOS ANGELES,CA,90020,CWA,No,,
3980 WILSHIRE BLVD.,3980 WILSHIRE,LOS ANGELES,CA,90010,CWA,No,,
3A TREATMENT PLANT,26801 CAMINO CAPISTRANO,LAGUNA NIGUEL,CA,92677,CWA,No,,
3A1004 SOUTH STOCKTON PROJECT,3663 ARCH RD,STOCKTON,CA,95215,CWA,No,,
3B MACHINING,2292  TRADE ZONE BLVD.,SAN JOSE,CA,95131,CWA,No,,
3C3804  Y TO TROUT CREEK,2489 LAKE TAHOE BOULEVARD,SOUTH LAKE TAHOE,CA,96150,CWA,No,05/19/2020,
3D LETTERING CORP,4477 SHOPPING LANE,SIMI VALLEY,CA,93063,CWA,No,03/11/2019,
3D TEK CNC,2362 STURGIS ROAD,OXNARD,CA,93030,CWA,No,,
3F MEADOWS,SAN MARCOS ROAD AND CENEGAL ROAD,ATASCADERO,CA,93422,CWA,No,,
3H DAIRY (HHH DAIRY),6460 SMITH RD,OAKDALE,CA,95361,CWA,No,07/15/2001,
3M BRINE PONDS,18750MINNESOTA,CORONA,CA,92881,CWA,No,,
3M CANOGA PARK,8357 CANOGA PARK AVENUE,CANOGA PARK,CA,91304,CWA,No,,
3M COMPANY,18750 MINNESOTA RD,CORONA,CA,92881,CWA,No,12/03/2019,
3M COMPANY,1601 S SHAMROCK AVE,MONROVIA,CA,91016,CWA,No,01/18/2024,
3M DAIMLER,17466 DAIMLER ST,IRVINE,CA,92614,CWA,No,,
3M GARDEN GROVE,7341 ANACONDA AVE,GARDEN GROVE,CA,92841,CWA,No,,
3M IRVINE BARRANCA,1922 BARRANCA PKWY,IRVINE,CA,92606,CWA,No,,
3M IRVINE DENTAL,2111 MCGAW AVE,IRVINE,CA,92614,CWA,No,,
3M MORGAN HILL,16235 VINEYARD BOULEVARD,MORGAN HILL,CA,95037,CWA,No,,
3M NORTHRIDGE,19901 NORDHOFF,NORTHRIDGE,CA,91328,CWA,No,,
3M PHARMACEUTICALS,19901  NORDHOFF ST,NORTHRIDGE,CA,91328,CWA,No,01/08/2004,
3M UNITED AUTO PARTS,1726 SMITH AVE,SAN JOSE,CA,95112,CWA,No,,
3R NETWORK,14225 TELEPHONE AVENUE,CHINO,CA,91710,CWA,No,,
3R NETWORK INC,14225 TELEPHONE AVENUE UNIT C,CHINO,CA,91710,CWA,No,,
3RD & FAIRFAX,355 SOUTH OGDEN,LOS ANGELES,CA,90036,CWA,No,,
3RD & PACIFIC PROJECT,230 WEST 3RD,LONG BEACH,CA,90802,CWA,No,,
3RD AND CLAREMONT,THIRD AVENUE AND CLAREMONT STREET,SAN MATEO,CA,94401,CWA,No,,
3RD BUILDING LLP,26477 RUETHER AVE,SANTA CLARITA,CA,91350,CWA,No,,
3T HOLDING INC,18221 SUSANA RD,RANCHO DOMINGUEZ,CA,90221,CWA,No,11/30/2015,
3T HOLDING INC,18221 SUSANA RD,RANCHO DOMINGUEZ,CA,90221,CWA,No,,
3V FASTNERS CO INC,320 REED CIR,CORONA,CA,92879,CWA,No,05/21/2021,
4 CYLINDER CARS DISMANTLERS,11485 EAST SANTA FE AVE,HESPERIA,CA,92345,CWA,No,,
4 JS AUTO DISMANTLING,1818 E MAURETANIA ST,WILMINGTON,CA,90744,CWA,No,09/22/2021,
4 SEASONS AT BEAUMONT,1001 S HIGHLANDS SPRINGS AVE,BEAUMONT,CA,92223,CWA,No,04/02/2018,
4 STARS AUTO DISMANTLER,921 N HENRY FORD AVE,WILMINGTON,CA,90744,CWA,No,12/04/2023,
4 STARS AUTO DISMANTLER SALES,921 N HENRY FORD AVE,WILMINGTON,CA,90744-4716,CWA,No,01/31/2024,
4 STARS AUTO DISMANTLER SALES,921 N HENRY FORD AVE,WILMINGTON,CA,90744,CWA,No,12/04/2023,
4 WHEEL DISMANTLING,1034 CRISTOBAL,WILMINGTON,CA,90744,CWA,No,,
